ID;LINEA;ACERO;TIPO_ACERO;SALIDA DEL PROVEEDOR;LLEGADA A FÁBRICA;ORIGEN;TRANSPORTE;PESO NETO;INICIO DESCARGA;FIN DESCARGA;ESPESOR;TEMPERATURA;FALLAS;TURNO;SUPERVISOR
2052;Línea A;Acero;ACERO SAE 1040;18-04-2024 15:30;19-04-2024 7:36;Coronel Suarez, Buenos Aires;HERNANDEZ COMPANY;20940;20-04-2024 18:57;20-04-2024 19:11;18.1;24.6;;M;Melina Juárez
2053;Línea A;Acero;ACERO SAE 1018;17-04-2024 18:15;18-04-2024 16:59;Centinela del Mar, Buenos Aires;TRANSPORTE PUTESCO;23200;20-04-2024 4:20;20-04-2024 4:25;11.1;27.1;;T;Hugo Conte
2054;Línea B;Acero;ACERO SAE 1018;13-04-2024 19:50;15-04-2024 15:20;Comandante Nicanor Otamendi, Buenos Aires;HERNANDEZ COMPANY;24920;17-04-2024 2:41;17-04-2024 2:57;10.5;23.7;;M;Julieta Pérez
2055;Línea A;Acero;ACERO SAE 1018;14-04-2024 22:15;15-04-2024 4:23;Tamangueyú, Buenos Aires;BUSTAMANTE E HIJOS S.A;26000;16-04-2024 6:12;16-04-2024 6:48;19.1;22.5;;N;Hugo Conte
2056;Línea B;Acero;ACERO SAE 1018;17-04-2024 13:40;18-04-2024 16:05;Tamangueyú, Buenos Aires;BUSTAMANTE E HIJOS S.A;29700;20-04-2024 3:26;20-04-2024 3:50;17.5;12.7;;T;Hugo Conte
2057;Línea B;Acero;ACERO SAE 1018;14-04-2024 20:00;14-04-2024 23:21;Tamangueyú, Buenos Aires;TRANSPORTE CABRERA;26000;16-04-2024 5:22;16-04-2024 6:15;18.9;21.3;;N;Hugo Conte
2058;Línea B;Acero;ACERO SAE 1018;17-04-2024 16:05;18-04-2024 17:59;Tamangueyú, Buenos Aires;MURIETTO SRL;31900;20-04-2024 5:20;20-04-2024 5:31;17;13;;T;Hugo Conte
2059;Línea B;Acero;ACERO SAE 1018;14-04-2024 14:00;14-04-2024 21:38;Estancia San Pedro, Buenos Aires;MURIETTO SRL;26000;15-04-2024 19:24;15-04-2024 20:41;11.1;25.6;;T;Melina Juárez
2060;Línea B;Acero;ACERO SAE 1018;14-04-2024 19:40;14-04-2024 21:35;Las Piedritas, Buenos Aires;TRANSPORTES RITONDO SRL;26000;15-04-2024 23:37;16-04-2024 1:15;11.5;25.5;;N;Hugo Conte
2061;Línea B;Acero;ACERO SAE 1018;14-04-2024 15:10;14-04-2024 21:35;Tamangueyú, Buenos Aires;TRANSPORTE CABRERA;26000;16-04-2024 3:51;16-04-2024 4:41;18.5;22.5;;N;Hugo Conte
2062;Línea B;Acero;ACERO SAE 1018;14-04-2024 15:35;14-04-2024 19:21;Estancia San Pedro, Buenos Aires;TRANSPORTE CABRERA;26000;15-04-2024 22:21;15-04-2024 23:37;11.9;24.9;;N;Hugo Conte
2063;Línea B;Acero;ACERO SAE 1018;14-04-2024 11:15;15-04-2024 17:16;Estancia San Pedro, Buenos Aires;TRANSPORTE CABRERA;29980;17-04-2024 4:37;17-04-2024 4:42;11.1;23.5;;T;Melina Juárez
2064;Línea B;Acero;ACERO SAE 1018;17-04-2024 15:20;18-04-2024 17:17;Tamangueyú, Buenos Aires;BUSTAMANTE E HIJOS S.A;29720;20-04-2024 4:38;20-04-2024 4:42;18;13.7;;T;Hugo Conte
2065;Línea A;Acero;ACERO SAE 1018;14-04-2024 19:15;14-04-2024 22:47;Tamangueyú, Buenos Aires;TRANSPORTE CABRERA;26000;16-04-2024 4:27;16-04-2024 5:06;18.9;21.9;;N;Hugo Conte
2066;Línea B;Acero;ACERO SAE 1040;18-04-2024 20:45;20-04-2024 1:25;La Primavera, Buenos Aires;HERNANDEZ COMPANY;20180;21-04-2024 12:46;21-04-2024 13:12;15.9;24.3;;N;Julieta Pérez
2067;;Acero;ACERO SAE 1018;14-04-2024 16:00;14-04-2024 19:54;Balcarce, Buenos Aires;TRANSPORTE CABRERA;26000;16-04-2024 7:15;16-04-2024 7:41;14.5;;;;Gonzalo Castillejos
2068;Línea A;Acero;ACERO SAE 1018;14-04-2024 20:00;14-04-2024 23:31;Tamangueyú, Buenos Aires;LOGISTICA CASEDEI SRL;26000;16-04-2024 5:06;16-04-2024 6:10;18.5;21.5;;N;Hugo Conte
2069;Línea A;Acero;ACERO SAE 1018;14-04-2024 17:20;14-04-2024 21:56;Tamangueyú, Buenos Aires;TRANSPORTE CABRERA;26000;16-04-2024 3:20;16-04-2024 4:26;18;21.5;;N;Hugo Conte
2070;;Acero;ACERO SAE 1018;14-04-2024 17:10;14-04-2024 20:43;Las Piedritas, Buenos Aires;BUSTAMANTE E HIJOS S.A;26000;16-04-2024 8:04;16-04-2024 8:27;14.5;;;;Gonzalo Castillejos
2071;Línea B;Acero;ACERO SAE 1018;14-04-2024 13:00;14-04-2024 18:47;Estancia San Pedro, Buenos Aires;TRANSPORTE CABRERA;26000;15-04-2024 17:17;15-04-2024 19:21;11.5;25.7;;T;Melina Juárez
2072;Línea B;Acero;ACERO SAE 1018;14-04-2024 18:00;14-04-2024 22:27;Tamangueyú, Buenos Aires;TRANSPORTE CABRERA;26000;16-04-2024 4:42;16-04-2024 5:21;19;22;;N;Hugo Conte
2073;Línea A;Acero;ACERO SAE 1040;18-04-2024 17:20;19-04-2024 1:45;Coronel Suarez, Buenos Aires;BUSTAMANTE E HIJOS S.A;21900;19-04-2024 9:25;19-04-2024 10:00;18;17.4;;M;Melina Juárez
2074;Línea A;Acero;ACERO SAE 1055;19-04-2024 11:20;20-04-2024 2:27;Coronel Suarez, Buenos Aires;HERNANDEZ COMPANY;34340;21-04-2024 13:48;21-04-2024 14:13;10.7;21.7;;N;Julieta Pérez
2075;Línea A;Acero;ACERO SAE 1018;14-04-2024 14:20;14-04-2024 18:13;Balcarce, Buenos Aires;TRANSPORTE PUTESCO;26000;16-04-2024 1:12;16-04-2024 3:00;18.1;25.2;;N;Hugo Conte
2076;Línea B;Acero;ACERO SAE 1018;14-04-2024 14:30;14-04-2024 19:12;Estancia San Pedro, Buenos Aires;HERNANDEZ COMPANY;26000;15-04-2024 20:44;15-04-2024 21:42;11.6;25.3;;T;Melina Juárez
2077;Línea A;Acero;ACERO SAE 1040;18-04-2024 16:10;19-04-2024 8:32;Coronel Suarez, Buenos Aires;MURIETTO SRL;29060;20-04-2024 19:53;20-04-2024 19:53;18.1;24.9;;M;Melina Juárez
2078;Línea B;Acero;ACERO SAE 1040;18-04-2024 20:45;19-04-2024 20:05;Piñeyro, Buenos Aires;TRANSPORTE CABRERA;17740;21-04-2024 7:26;21-04-2024 7:28;19.4;27.8;;T;Hugo Conte
2079;Línea B;Acero;ACERO SAE 1040;18-04-2024 18:30;19-04-2024 22:42;Coronel Suarez, Buenos Aires;TRANSPORTE CABRERA;21360;21-04-2024 10:03;21-04-2024 10:13;16.6;18.6;;T;Hugo Conte
2080;Línea A;Acero;ACERO SAE 1040;18-04-2024 17:00;19-04-2024 9:19;Coronel Suarez, Buenos Aires;BUSTAMANTE E HIJOS S.A;20320;20-04-2024 20:40;20-04-2024 20:54;19.1;24.7;;M;Melina Juárez
2081;Línea B;Acero;ACERO SAE 1040;18-04-2024 20:20;20-04-2024 0:54;Coronel Suarez, Buenos Aires;BUSTAMANTE E HIJOS S.A;21800;21-04-2024 12:15;21-04-2024 12:27;16;27;;N;Julieta Pérez
2082;Línea A;Acero;ACERO SAE 1040;19-04-2024 9:50;20-04-2024 13:12;Piñeyro, Buenos Aires;HERNANDEZ COMPANY;21240;22-04-2024 0:33;22-04-2024 0:47;19.7;29.1;Rotura brazo de descarga;M;Melina Juárez
2083;Línea A;Acero;ACERO SAE 1040;18-04-2024 18:00;19-04-2024 11:24;Coronel Suarez, Buenos Aires;TRANSPORTE CABRERA;23280;20-04-2024 22:45;20-04-2024 23:08;19.1;19.2;;M;Melina Juárez
2084;Línea A;Acero;ACERO SAE 1040;13-04-2024 12:30;14-04-2024 11:46;Zentena, Buenos Aires;TRANSPORTE CABRERA;22780;15-04-2024 23:07;15-04-2024 23:09;14.6;23.2;;M;Julieta Pérez
2085;Línea A;Acero;ACERO SAE 1040;18-04-2024 13:40;19-04-2024 1:08;Piñeyro, Buenos Aires;TRANSPORTE CABRERA;23020;20-04-2024 12:29;20-04-2024 12:34;18.6;25.7;;N;Julieta Pérez
2086;Línea A;Acero;ACERO SAE 1040;18-04-2024 18:30;19-04-2024 3:43;Piñeyro, Buenos Aires;BUSTAMANTE E HIJOS S.A;20580;20-04-2024 15:04;20-04-2024 15:10;19;17.1;;N;Julieta Pérez
2087;;Acero;ACERO SAE 1018;14-04-2024 18:00;14-04-2024 22:54;Balcarce, Buenos Aires;TRANSPORTES RITONDO SRL;26000;16-04-2024 10:15;16-04-2024 10:28;14.5;;;;Gonzalo Castillejos
2088;;Acero;ACERO SAE 1018;14-04-2024 18:40;14-04-2024 21:37;Balcarce, Buenos Aires;MURIETTO SRL;26000;16-04-2024 8:58;16-04-2024 9:25;14.5;;;;Gonzalo Castillejos
2089;;Acero;ACERO SAE 1018;14-04-2024 21:45;14-04-2024 23:34;Balcarce, Buenos Aires;LOGISTICA CASEDEI SRL;26000;16-04-2024 10:55;16-04-2024 11:23;14.5;;;;Gonzalo Castillejos
2090;Línea B;Acero;ACERO SAE 1018;14-04-2024 20:50;14-04-2024 22:56;Balcarce, Buenos Aires;HERNANDEZ COMPANY;26000;16-04-2024 1:16;16-04-2024 3:00;11;24.7;;N;Hugo Conte
2091;;Acero;ACERO SAE 1018;14-04-2024 21:30;14-04-2024 23:23;Balcarce, Buenos Aires;TRANSPORTE CABRERA;26000;16-04-2024 10:44;16-04-2024 10:53;14.5;;;;Gonzalo Castillejos
2092;;Acero;ACERO SAE 1018;18-04-2024 14:00;19-04-2024 6:04;Balcarce, Buenos Aires;TRANSPORTE GIORDANO;28240;20-04-2024 17:25;20-04-2024 17:52;;;;;Gonzalo Castillejos
2093;;Acero;ACERO SAE 1018;17-04-2024 17:50;18-04-2024 8:13;Estancia La Peregrina, Buenos Aires;LOGISTICA CASEDEI SRL;24700;19-04-2024 19:34;19-04-2024 19:35;;;;;Gonzalo Castillejos
2094;Línea B;Acero;ACERO SAE 1018;17-04-2024 16:00;18-04-2024 4:15;Estancia La Peregrina, Buenos Aires;TRANSPORTE GIORDANO;24340;19-04-2024 15:36;19-04-2024 15:56;16.9;13.1;;N;Julieta Pérez
2095;;Acero;ACERO SAE 1018;18-04-2024 14:40;19-04-2024 7:37;Balcarce, Buenos Aires;LOGISTICA CASEDEI SRL;26600;20-04-2024 18:58;20-04-2024 19:04;;;;;Gonzalo Castillejos
2096;Línea A;Acero;ACERO SAE 1018;18-04-2024 8:30;19-04-2024 12:24;Estancia la Costa, Buenos Aires;BUSTAMANTE E HIJOS S.A;29120;20-04-2024 23:45;21-04-2024 0:08;19.4;20.4;Falla en cinta de descarga;M;Melina Juárez
2097;Línea B;Acero;ACERO SAE 1018;17-04-2024 15:00;18-04-2024 5:28;Estancia La Peregrina, Buenos Aires;BUSTAMANTE E HIJOS S.A;24060;19-04-2024 16:49;19-04-2024 17:02;18.1;13.5;;N;Julieta Pérez
2098;Línea A;Acero;ACERO SAE 1018;18-04-2024 14:40;19-04-2024 15:39;Estancia la Costa, Buenos Aires;BUSTAMANTE E HIJOS S.A;27460;21-04-2024 3:00;21-04-2024 3:11;19.9;26.7;;M;Melina Juárez
2099;Línea A;Acero;ACERO SAE 1018;18-04-2024 12:10;19-04-2024 6:06;Estancia la Costa, Buenos Aires;TRANSPORTE CABRERA;29960;20-04-2024 17:27;20-04-2024 17:50;18.9;20.7;;N;Julieta Pérez
2100;Línea A;Acero;ACERO SAE 1018;18-04-2024 14:00;19-04-2024 13:37;Estancia la Costa, Buenos Aires;BUSTAMANTE E HIJOS S.A;27960;21-04-2024 0:58;21-04-2024 1:16;19.7;30;;M;Melina Juárez
2101;Línea B;Acero;ACERO SAE 1018;17-04-2024 18:40;18-04-2024 20:48;Tamangueyú, Buenos Aires;HERNANDEZ COMPANY;28340;20-04-2024 8:09;20-04-2024 8:26;16.5;17;;T;Hugo Conte
2102;Línea A;Acero;ACERO SAE 1018;17-04-2024 15:15;18-04-2024 15:27;Centinela del Mar, Buenos Aires;BUSTAMANTE E HIJOS S.A;28420;20-04-2024 2:48;20-04-2024 3:08;11.1;24.1;;M;Melina Juárez
2103;Línea B;Acero;ACERO SAE 1018;18-04-2024 17:00;19-04-2024 14:08;Las Piedritas, Buenos Aires;TRANSPORTE CABRERA;11680;21-04-2024 1:29;21-04-2024 1:37;19.7;29.8;;M;Melina Juárez
2104;Línea A;Acero;ACERO SAE 1018;17-04-2024 19:30;18-04-2024 13:31;Centinela del Mar, Buenos Aires;HERNANDEZ COMPANY;10040;20-04-2024 0:52;20-04-2024 1:17;11.1;18.9;;M;Melina Juárez
2105;Línea A;Acero;ACERO SAE 1018;17-04-2024 19:50;18-04-2024 19:06;Estancia la Costa, Buenos Aires;TRANSPORTE CABRERA;27660;20-04-2024 6:27;20-04-2024 6:55;19.5;27.7;;T;Hugo Conte
2106;Línea B;Acero;ACERO SAE 1018;17-04-2024 15:00;18-04-2024 9:42;Necochea, Buenos Aires;TRANSPORTE CABRERA;28320;19-04-2024 21:03;19-04-2024 21:23;19.1;17.6;;M;Melina Juárez
2107;Línea B;Acero;ACERO SAE 1018;17-04-2024 17:20;18-04-2024 20:08;Tamangueyú, Buenos Aires;TRANSPORTES RITONDO SRL;30660;20-04-2024 7:29;20-04-2024 7:45;16.9;17.3;;T;Hugo Conte
2108;Línea B;Acero;ACERO SAE 1018;17-04-2024 17:40;18-04-2024 15:17;Estancia la Costa, Buenos Aires;TRANSPORTE CABRERA;30160;20-04-2024 2:38;20-04-2024 2:59;19.5;28.5;;M;Melina Juárez
2109;Línea B;Acero;ACERO SAE 1018;17-04-2024 19:00;18-04-2024 21:32;Tamangueyú, Buenos Aires;BUSTAMANTE E HIJOS S.A;28120;20-04-2024 8:53;20-04-2024 9:21;16;27.4;;T;Hugo Conte
2110;Línea B;Acero;ACERO SAE 1018;17-04-2024 19:50;18-04-2024 22:58;Tamangueyú, Buenos Aires;BUSTAMANTE E HIJOS S.A;28680;20-04-2024 10:19;20-04-2024 10:37;17.1;19.5;;T;Hugo Conte
2111;Línea A;Acero;ACERO SAE 1018;18-04-2024 10:40;19-04-2024 23:22;Estancia la Costa, Buenos Aires;MURIETTO SRL;30080;21-04-2024 10:43;21-04-2024 10:59;18.5;18.8;;T;Hugo Conte
2112;Línea A;Acero;ACERO SAE 1018;17-04-2024 14:30;18-04-2024 11:40;Centinela del Mar, Buenos Aires;TRANSPORTE CABRERA;27620;19-04-2024 23:01;19-04-2024 23:11;11.5;20.6;;M;Melina Juárez
2113;Línea B;Acero;ACERO SAE 1018;17-04-2024 20:30;18-04-2024 22:15;Tamangueyú, Buenos Aires;DANIEL MARCELO SRL;32160;18-04-2024 23:02;19-04-2024 0:14;16.1;31.1;;N;Julieta Pérez
2114;Línea A;Acero;ACERO SAE 1018;17-04-2024 13:30;18-04-2024 1:13;Centinela del Mar, Buenos Aires;TRANSPORTE CABRERA;26000;18-04-2024 6:50;18-04-2024 8:37;11;13.5;Falla en cinta de descarga;M;Melina Juárez
2115;Línea B;Acero;ACERO SAE 1018;17-04-2024 18:40;18-04-2024 12:51;Estancia la Costa, Buenos Aires;TRANSPORTE CABRERA;28780;20-04-2024 0:12;20-04-2024 0:28;11.1;15.5;;M;Melina Juárez
2116;Línea A;Acero;ACERO SAE 1018;17-04-2024 18:55;18-04-2024 22:05;Centinela del Mar, Buenos Aires;BUSTAMANTE E HIJOS S.A;23500;20-04-2024 9:26;20-04-2024 9:47;11.1;26;;T;Hugo Conte
2117;Línea B;Acero;ACERO SAE 1018;17-04-2024 16:30;18-04-2024 11:34;Estancia la Costa, Buenos Aires;TRANSPORTE CABRERA;30400;19-04-2024 22:55;19-04-2024 22:59;19.8;20.4;;M;Melina Juárez
2118;Línea A;Acero;ACERO SAE 1018;17-04-2024 17:30;18-04-2024 17:52;Centinela del Mar, Buenos Aires;DANIEL MARCELO SRL;37380;20-04-2024 5:13;20-04-2024 5:28;11.7;31.9;;T;Hugo Conte
2119;Línea A;Acero;ACERO SAE 1018;17-04-2024 12:35;18-04-2024 6:04;Centinela del Mar, Buenos Aires;TRANSPORTE CABRERA;27660;19-04-2024 17:25;19-04-2024 17:43;11;13.9;;N;Julieta Pérez
2120;Línea B;Acero;ACERO SAE 1040;02-04-2024 14:40;03-04-2024 21:08;Provincia de Buenos Aires;HERNANDEZ COMPANY;28760;05-04-2024 8:29;05-04-2024 8:42;15.8;19.6;;T;Melina Juárez
2121;Línea B;Acero;ACERO SAE 1018;18-04-2024 14:00;19-04-2024 0:00;Centinela del Mar, Buenos Aires;BUSTAMANTE E HIJOS S.A;28240;19-04-2024 5:07;19-04-2024 5:45;10.5;16.9;;M;Melina Juárez
2122;Línea B;Acero;ACERO SAE 1018;18-04-2024 14:40;19-04-2024 3:00;Centinela del Mar, Buenos Aires;BUSTAMANTE E HIJOS S.A;26600;19-04-2024 6:40;19-04-2024 7:40;19.8;17.2;;M;Melina Juárez
2123;Línea B;Acero;ACERO SAE 1018;18-04-2024 14:40;19-04-2024 3:00;Centinela del Mar, Buenos Aires;BUSTAMANTE E HIJOS S.A;;19-04-2024 7:45;19-04-2024 8:45;10;20.2;;M;Melina Juárez
2124;Línea B;Acero;ACERO SAE 1018;17-04-2024 17:50;18-04-2024 4:11;Centinela del Mar, Buenos Aires;BUSTAMANTE E HIJOS S.A;24700;18-04-2024 6:52;19-04-2024 8:10;18.1;18.7;;M;Melina Juárez
2125;Línea A;Acero;ACERO SAE 1018;17-04-2024 19:30;18-04-2024 11:13;Centinela del Mar, Buenos Aires;BUSTAMANTE E HIJOS S.A;27700;18-04-2024 19:32;19-04-2024 20:17;19;27;;T;Hugo Conte
2126;Línea A;Acero;ACERO SAE 1018;18-04-2024 18:00;19-04-2024 18:25;Estancia la Costa, Buenos Aires;TRANSPORTE CABRERA;27380;21-04-2024 5:46;21-04-2024 5:49;19.1;24.9;;T;Hugo Conte
2127;Línea A;Acero;ACERO SAE 1018;17-04-2024 16:00;18-04-2024 9:45;Centinela del Mar, Buenos Aires;TRANSPORTE CABRERA;28660;19-04-2024 21:06;19-04-2024 21:16;11.1;18;;M;Melina Juárez
2128;Línea B;Acero;ACERO SAE 1018;18-04-2024 17:30;19-04-2024 12:03;Estancia La Peregrina, Buenos Aires;TRANSPORTE CABRERA;28360;20-04-2024 23:24;20-04-2024 23:42;19;24.2;;M;Melina Juárez
2129;Línea B;Acero;ACERO SAE 1018;19-04-2024 8:10;20-04-2024 14:06;Estancia la Costa, Buenos Aires;TRANSPORTE PUTESCO;30740;22-04-2024 1:27;22-04-2024 1:54;19.7;21;;M;Melina Juárez
2130;Línea B;Acero;ACERO SAE 1018;18-04-2024 15:45;19-04-2024 10:09;Estancia La Peregrina, Buenos Aires;TRANSPORTE PUTESCO;27540;20-04-2024 21:30;20-04-2024 21:38;19;18.9;;M;Melina Juárez
2131;Línea A;Acero;ACERO SAE 1018;18-04-2024 20:30;19-04-2024 20:39;Estancia la Costa, Buenos Aires;LOGISTICA CASEDEI SRL;29220;21-04-2024 8:00;21-04-2024 8:06;18.9;17.4;;T;Hugo Conte
2132;Línea A;Acero;ACERO SAE 1040;18-04-2024 16:30;19-04-2024 2:31;La Primavera, Buenos Aires;BUSTAMANTE E HIJOS S.A;26120;20-04-2024 13:52;20-04-2024 14:11;19.1;27.8;;N;Julieta Pérez
2133;Línea A;Acero;ACERO SAE 1018;18-04-2024 15:00;19-04-2024 16:23;Estancia la Costa, Buenos Aires;TRANSPORTE CABRERA;28700;21-04-2024 3:44;21-04-2024 3:52;18.7;26.8;;T;Hugo Conte
2134;Línea B;Acero;ACERO SAE 1040;18-04-2024 19:30;19-04-2024 16:19;Piñeyro, Buenos Aires;TRANSPORTE CABRERA;19600;21-04-2024 3:40;21-04-2024 4:01;19.5;17.7;;T;Hugo Conte
2135;Línea B;Acero;ACERO SAE 1040;18-04-2024 20:15;19-04-2024 19:02;Piñeyro, Buenos Aires;TRANSPORTE CABRERA;22460;21-04-2024 6:23;21-04-2024 6:45;19.9;25.6;;T;Hugo Conte
2136;Línea B;Acero;ACERO SAE 1018;18-04-2024 13:30;19-04-2024 4:49;Tamangueyú, Buenos Aires;TRANSPORTE CABRERA;12160;20-04-2024 16:10;20-04-2024 16:39;16.1;22.1;;N;Julieta Pérez
2137;Línea A;Acero;ACERO SAE 1018;17-04-2024 11:20;18-04-2024 12:53;Centinela del Mar, Buenos Aires;BUSTAMANTE E HIJOS S.A;28080;20-04-2024 0:14;20-04-2024 0:20;11.8;18.4;;M;Melina Juárez
2138;Línea B;Acero;ACERO SAE 1040;18-04-2024 20:00;20-04-2024 0:04;La Primavera, Buenos Aires;TRANSPORTE CABRERA;22520;21-04-2024 11:25;21-04-2024 11:38;15.8;27.5;;N;Julieta Pérez
2139;Línea B;Acero;ACERO SAE 1018;18-04-2024 16:40;19-04-2024 13:23;Balcarce, Buenos Aires;HERNANDEZ COMPANY;27020;21-04-2024 0:44;21-04-2024 1:09;19.1;28.95;;M;Melina Juárez
2140;Línea B;Acero;ACERO SAE 1040;19-04-2024 8:10;19-04-2024 20:59;Piñeyro, Buenos Aires;TRANSPORTES RITONDO SRL;19140;21-04-2024 8:20;21-04-2024 8:43;19.9;32;;T;Hugo Conte
2141;;Acero;ACERO SAE 1018;17-04-2024 19:30;18-04-2024 20:15;Estancia La Peregrina, Buenos Aires;MURIETTO SRL;27700;20-04-2024 7:36;20-04-2024 7:56;;;;;Gonzalo Castillejos
2142;Línea B;Acero;ACERO SAE 1018;18-04-2024 11:20;19-04-2024 1:43;Tamangueyú, Buenos Aires;BUSTAMANTE E HIJOS S.A;24660;19-04-2024 3:29;19-04-2024 4:18;17.1;17.5;;N;Julieta Pérez
2143;Línea B;Acero;ACERO SAE 1018;18-04-2024 16:35;19-04-2024 11:16;Balcarce, Buenos Aires;TRANSPORTES RITONDO SRL;28480;20-04-2024 22:37;20-04-2024 22:58;19.5;20.2;;M;Melina Juárez
2144;Línea A;Acero;ACERO SAE 1040;19-04-2024 9:10;20-04-2024 11:46;Piñeyro, Buenos Aires;TRANSPORTE CABRERA;24420;21-04-2024 23:07;21-04-2024 23:14;19.7;28.8;;M;Melina Juárez
2145;;Acero;ACERO SAE 1018;18-04-2024 15:30;19-04-2024 9:00;Balcarce, Buenos Aires;LOGISTICA CASEDEI SRL;29860;20-04-2024 20:21;20-04-2024 20:39;;;;;Gonzalo Castillejos
2146;Línea B;Acero;ACERO SAE 1018;18-04-2024 12:20;19-04-2024 1:41;Tamangueyú, Buenos Aires;BUSTAMANTE E HIJOS S.A;26780;20-04-2024 13:02;20-04-2024 13:19;17.1;21.6;;N;Julieta Pérez
2147;Línea A;Acero;ACERO SAE 1018;17-04-2024 17:00;18-04-2024 23:09;Centinela del Mar, Buenos Aires;TRANSPORTE CABRERA;28680;20-04-2024 10:30;20-04-2024 10:38;11.6;25;;T;Hugo Conte
2148;Línea A;Acero;ACERO SAE 1018;17-04-2024 12:15;18-04-2024 4:55;Centinela del Mar, Buenos Aires;HERNANDEZ COMPANY;26620;19-04-2024 16:16;19-04-2024 16:26;11.6;17.8;;N;Julieta Pérez
2149;Línea A;Acero;ACERO SAE 1018;17-04-2024 19:30;18-04-2024 16:12;Centinela del Mar, Buenos Aires;TRANSPORTE PUTESCO;18280;20-04-2024 3:33;20-04-2024 3:41;11.9;27.7;;T;Hugo Conte
2150;Línea B;Acero;ACERO SAE 1040;18-04-2024 20:00;19-04-2024 17:23;Piñeyro, Buenos Aires;TRANSPORTE CABRERA;18580;21-04-2024 4:44;21-04-2024 5:01;19.7;25.8;;T;Hugo Conte
2151;Línea B;Acero;ACERO SAE 1040;18-04-2024 19:20;19-04-2024 23:24;La Primavera, Buenos Aires;TRANSPORTE CABRERA;22780;21-04-2024 10:45;21-04-2024 11:08;15.1;17.8;;N;Julieta Pérez
2152;Línea A;Acero;ACERO SAE 1018;18-04-2024 19:00;19-04-2024 19:48;Estancia la Costa, Buenos Aires;TRANSPORTE CABRERA;24120;21-04-2024 7:09;21-04-2024 7:22;19.1;27.5;;T;Hugo Conte
2153;Línea A;Acero;ACERO SAE 1018;18-04-2024 16:30;19-04-2024 17:18;Estancia la Costa, Buenos Aires;LOGISTICA CASEDEI SRL;34520;21-04-2024 4:39;21-04-2024 4:55;19.1;28.7;;T;Hugo Conte
2154;Línea A;Acero;ACERO SAE 1018;18-04-2024 21:00;19-04-2024 21:25;Estancia la Costa, Buenos Aires;LOGISTICA CASEDEI SRL;23960;21-04-2024 8:46;21-04-2024 9:00;19.5;19.4;;T;Hugo Conte
2155;Línea A;Acero;ACERO SAE 1018;17-04-2024 9:30;18-04-2024 2:54;Centinela del Mar, Buenos Aires;BUSTAMANTE E HIJOS S.A;25960;19-04-2024 14:15;19-04-2024 14:34;11.1;18.3;;N;Julieta Pérez
2156;Línea B;Acero;ACERO SAE 1018;19-04-2024 9:30;20-04-2024 16:31;Estancia la Costa, Buenos Aires;TRANSPORTE PUTESCO;39140;22-04-2024 3:52;22-04-2024 4:07;19.9;22.5;;T;Hugo Conte
2157;Línea A;Acero;ACERO SAE 1055;19-04-2024 13:10;20-04-2024 4:21;Coronel Suarez, Buenos Aires;MURIETTO SRL;33180;21-04-2024 15:42;21-04-2024 16:03;10.8;17.5;;N;Julieta Pérez
2158;Línea A;Acero;ACERO SAE 1040;19-04-2024 10:26;20-04-2024 15:41;Piñeyro, Buenos Aires;TRANSPORTE CABRERA;21580;22-04-2024 3:02;22-04-2024 3:16;19.5;29;;M;Melina Juárez
2159;Línea A;Acero;ACERO SAE 1040;19-04-2024 13:00;20-04-2024 18:58;Piñeyro, Buenos Aires;TRANSPORTE CABRERA;22460;22-04-2024 6:19;22-04-2024 6:27;19.1;20.5;;T;Hugo Conte
2160;Línea B;Acero;ACERO SAE 1040;19-04-2024 14:00;20-04-2024 8:11;Zentena, Buenos Aires;TRANSPORTE CABRERA;20760;21-04-2024 19:32;21-04-2024 20:00;15.4;17.6;;M;Melina Juárez
2161;Línea B;Acero;ACERO SAE 1018;19-04-2024 11:40;20-04-2024 21:37;Estancia la Costa, Buenos Aires;BUSTAMANTE E HIJOS S.A;26600;22-04-2024 8:58;22-04-2024 9:25;18;24.5;;T;Hugo Conte
2162;Línea B;Acero;ACERO SAE 1040;20-04-2024 2:24;20-04-2024 8:54;Zentena, Buenos Aires;TRANSPORTE CABRERA;22460;21-04-2024 20:15;21-04-2024 20:18;15.1;19.9;;N;Julieta Pérez
2163;Línea B;Acero;ACERO SAE 1040;19-04-2024 21:30;20-04-2024 22:58;Zentena, Buenos Aires;LOGISTICA INTEGRAL SUAREZ;11300;21-04-2024 21:36;21-04-2024 23:20;14.1;24.3;;T;Hugo Conte
2164;Línea B;Acero;ACERO SAE 1040;19-04-2024 20:00;21-04-2024 19:54;Piñeyro, Buenos Aires;TRANSPORTE CABRERA;25840;23-04-2024 7:15;23-04-2024 7:33;14.5;25.8;;T;Hugo Conte
2165;Línea B;Acero;ACERO SAE 1040;19-04-2024 15:45;20-04-2024 11:15;Zentena, Buenos Aires;MURIETTO SRL;21520;21-04-2024 22:36;21-04-2024 22:49;16.6;17.7;;M;Melina Juárez
2166;Línea A;Acero;ACERO SAE 1055;19-04-2024 12:10;20-04-2024 3:23;Coronel Suarez, Buenos Aires;BUSTAMANTE E HIJOS S.A;26340;21-04-2024 14:44;21-04-2024 14:53;10.1;19.6;;N;Julieta Pérez
